timestamp,power_kw,power_std_kw,power_min_kw,power_max_kw
2022-01-01 00:00:00,630.8895980834963,205.32254573002663,320.397155761719,1072.79675292969
2022-01-01 00:10:00,809.3394485473639,229.96093351707972,507.902008056641,1357.92761230469
2022-01-01 00:20:00,893.6073333740244,329.0055219408784,304.070983886719,1699.82666015625
2022-01-01 00:30:00,995.5837341308596,224.34616838386748,575.404724121094,1381.43518066406
2022-01-01 00:40:00,926.5194412231448,258.9724137248776,486.400726318359,1485.38891601563
2022-01-01 00:50:00,955.7784088134762,160.51927287115427,615.985229492188,1240.97717285156
2022-01-01 01:00:00,746.642318725586,253.28498017687755,423.0595703125,1550.82141113281
2022-01-01 01:10:00,570.3196640014648,223.73503264598227,294.253936767578,1113.39868164063
2022-01-01 01:20:00,744.5119079589849,200.47981425973364,359.985260009766,1049.0224609375
2022-01-01 01:30:00,691.1980621337891,158.4917080235729,454.420654296875,957.969665527344
2022-01-01 01:40:00,1025.595008850098,357.8182238599176,432.802001953125,1771.138671875
2022-01-01 01:50:00,1337.5803527832036,208.89550683364905,999.77734375,1754.59924316406
2022-01-01 02:00:00,1273.1353546142595,203.19754070374185,976.109802246094,1779.40844726563
2022-01-01 02:10:00,1148.870608520508,240.9566458121015,723.769714355469,1883.0419921875
2022-01-01 02:20:00,1291.2482788085945,228.04612863198287,1036.783203125,1723.12060546875
2022-01-01 02:30:00,1160.839889526368,166.79911641751184,816.732604980469,1537.34436035156
2022-01-01 02:40:00,797.8818115234375,131.57065036131604,554.522216796875,1123.16223144531
2022-01-01 02:50:00,956.0788055419926,231.5071099737571,608.974731445313,1296.22998046875
2022-01-01 03:00:00,761.9686065673834,161.7217850896878,465.336791992188,1121.63647460938
2022-01-01 03:10:00,959.7201446533212,196.5286401739414,578.90478515625,1350.73559570313
